name,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07
katy tur,6,465,3,6,0,9,27,6,0,0,0,6,0,0,0,0,0,150,18,0,3,3,3,0,0,99,9,225,24,20,0,24,0,132,561,24,3,12,372,1572,219,9,195,684,32,306,564,486,234,66,486,1071,12,480,444,456,30,300,387,1128,857,199,2294,54,314,140,2456,6117,5484,7541,5576,7609,12449,12926,12126,10460,15780,12566,12606,14250,14495,12329,15762,11304,6164,17435,21623,13360,20225,17492,18104,16052,12947,10499,19496,15801,22306,19738,19182,15783,14607,16681,24371,24123,11916,15950,20665,14230,20436,15722,24818,5796,91,53,1486,1717,9556,19876,13427,11476,13433,14798,12326,14884,22398,22712,20448
kimberly guilfoyle,8800,4344,4154,7874,3783,2348,2600,3009,5380,3729,4687,4922,4011,3258,2294,1530,2379,3288,6263,9419,8264,9798,11048,11775,7393,9512,11871,8948,8602,5825,7340,7108,6855,6678,6431,10114,7889,9590,8158,9853,10942,9883,13465,8697,8263,7859,9253,8888,9473,7713,6600,8185,13092,17295,12344,12438,11971,17561,16392,22143,12764,12096,7061,8578,8292,9994,8732,6646,5099,8715,10163,13447,8897,7601,8398,9478,12777,12393,8817,11742,7753,8707,10199,14243,7282,10147,9011,12640,23623,18595,16133,14508,12097,7555,10092,10427,7823,5790,6721,7248,6610,5418,3494,3,3,9,18,36,2,35,8,1,694,16,3,4,5,20,98,12,2,5,1,0,19,53,792
laura ingraham,6176,5380,10031,19301,2064,3756,20407,18934,6243,5180,7369,8989,5011,11206,3743,6251,2922,13609,12305,12271,6618,5910,6773,5168,5922,7413,10223,9695,7902,19403,8708,19272,8584,8587,11545,18234,5489,7207,13521,3647,7136,22235,8282,16724,7112,4297,8928,4315,3696,4329,7164,5031,13747,5584,3123,5326,6329,3474,3438,4085,5374,4368,6150,2137,5605,1938,2394,4165,3809,4724,3956,3473,5863,6103,5323,6225,11547,10746,3224,6568,5859,5042,9511,8542,8675,7601,10316,6722,6932,7078,8417,13708,5211,9394,40966,33259,56181,46837,60021,43083,51017,48031,44233,49268,45607,62731,50087,40911,51378,45333,55553,43810,56807,44973,52716,45003,55022,57346,46914,38347,47154,42294,32611,60432,58271,55518,54052
lawrence o'donnell,7048,5474,32279,6455,3898,1096,18412,7101,12358,26610,19816,24151,32329,37401,34138,41989,37734,45868,40886,25161,38528,33217,26329,24885,22490,27757,23277,26018,21464,28761,26945,22699,20635,24201,22350,22946,23415,13747,27057,24527,22855,19664,23225,23780,24548,22666,16638,15326,20810,21777,17584,8239,117,295,8297,22241,18432,20638,17379,20160,15139,13519,12245,12360,16020,14045,16142,14922,14809,17838,10145,18878,14983,13029,17231,15401,14181,16868,11043,22971,22114,20130,12493,17867,11538,6750,21224,18902,19488,28221,26939,30501,19045,13349,27452,24190,20365,15943,27845,17782,18657,23739,30650,37816,35164,25221,32070,24672,44307,31993,33457,49753,39121,28741,33911,37500,32735,40750,24283,27858,28056,27966,32961,33978,39151,41741,46522
lindsey graham,1328,4414,4643,2142,612,2613,2253,5524,5337,465,4047,4002,3645,4866,3578,3054,2518,4140,3864,2400,4953,4957,1521,1926,2142,3417,2688,268,699,2541,990,1385,3150,6113,18389,11012,4718,12475,8796,11044,9253,9056,1842,4071,9677,4731,5964,1896,2885,1822,5503,1977,3479,8865,3816,3798,3621,2619,5213,1823,6486,5350,5602,7918,5571,15026,13073,7930,11997,9150,11022,15305,3838,6711,5666,1652,3271,3527,203,1341,1484,518,1637,5569,11208,4319,18476,6835,12366,5204,12602,8782,12347,7071,5868,3785,18259,2957,7291,11007,5606,7951,6201,12655,35944,14652,7539,17061,17953,10069,13040,6179,19334,8719,7743,8141,9693,24081,13817,22191,16247,7820,6124,8721,7323,7373,6525
martha maccallum,14118,11799,17025,14679,5624,5710,16522,13299,14028,14492,13608,14794,17196,13965,14385,18500,25297,19862,20756,11912,16800,19100,17869,17658,17763,12162,15370,18020,23191,11449,13926,11391,15667,16265,18887,12342,14591,14356,11917,14512,13683,14399,21493,13463,22996,13258,15483,15751,14796,16591,19511,16334,19053,14134,14115,21695,11429,17629,16769,11241,23582,12952,12558,9061,8639,16295,10448,9671,7888,9705,11967,9305,11217,14461,14888,15625,17834,13378,14016,17858,11091,17796,13909,16172,32100,42739,44982,35127,27661,24463,20083,15455,21680,26566,18973,19098,23036,28371,24820,26013,27597,23916,19270,18910,20101,22906,23295,18964,25620,25475,17510,29497,26534,18386,21777,25610,22445,29854,21977,19288,31880,21619,32115,25958,32861,34375,29509
megyn kelly,2759,28458,40471,34594,13239,7918,29315,19921,27704,35694,22871,30104,31189,30385,29544,8050,0,0,0,23424,27418,24281,25919,20494,32353,27169,24630,25983,27099,28131,27116,19900,24961,31730,28701,20155,30229,20963,29172,36177,28857,27851,4736,27,345,63580,71550,46569,63443,58961,52484,50977,45965,57769,61250,39571,54648,73425,55668,44473,43181,43759,76017,55827,47301,52121,49205,42625,47626,47331,32534,31733,53828,48631,46378,42744,29536,35872,25567,23825,37215,42688,39554,13222,8243,6,120,90,115,2241,90,24,93,680,45,309,147,27,1962,130,63,57,128,60,354,742,3,39,164,22,70,6,9,8,43,11,57,1564,96,72,31,4,7,2,362,1,19
michael smerconish,1089,0,1884,1527,1593,1288,7669,9662,1866,5235,11387,1956,4058,2232,1242,2826,7092,1965,8375,7757,10415,5141,7369,10907,2517,2994,1637,18700,4545,13675,22536,3646,1914,1974,2292,4259,13165,3235,5556,1179,3981,5272,12638,16794,1575,1791,5402,7615,6678,2700,6559,11316,8160,7411,5668,7661,7106,7593,9855,6950,9017,5987,7309,7019,8063,4231,5673,6150,7303,13767,6611,9546,12871,8684,9324,15510,12253,7718,12371,13414,9685,20807,10433,13870,12417,12575,12491,13396,12733,8336,16294,6198,8624,14212,11106,13745,15692,10974,15521,8099,9857,13603,11404,9274,6120,3910,8132,5134,9389,7596,10777,8695,9776,8297,6607,6668,6789,9007,10145,5759,6764,8883,7138,4246,7203,5305,7704
mika brzezinski,15082,19601,21195,23270,10995,10661,18274,15560,15478,17550,17152,15125,16902,17029,14398,13092,15054,16178,14153,13207,20845,23704,19119,16768,20654,16262,19068,21438,20194,13966,12193,21616,15376,21092,17318,18650,21282,22487,13970,20474,22656,23155,17635,17645,17045,25172,20288,18668,25416,16679,19239,17215,20993,27796,20153,18153,30535,35424,21714,21974,19222,20681,22951,22313,22560,25776,21305,27810,22491,27914,21681,26539,30621,30373,22916,24809,25531,22524,22522,23102,29047,25615,21764,15421,15203,21353,28100,23848,23243,24383,22548,14179,17764,24811,22557,25437,26438,32252,27056,26554,26176,36307,22231,18977,25903,28093,20615,21427,34061,32022,28597,32238,34628,23193,22699,16609,36163,38925,24535,30610,21650,25827,39286,48627,40345,25537,27622
mike huckabee,21907,14169,17831,19086,10893,10693,13339,13253,10778,15278,16056,13100,18808,28562,20359,16944,27881,14282,19234,11954,16859,22367,16928,15403,23141,19604,22631,20995,16925,17825,26723,29833,29306,22945,20649,22460,23426,25201,21363,23831,21820,26085,21672,26530,29602,23576,24268,30375,35748,27668,29416,25429,26756,26899,28922,30517,21745,28336,24726,25445,19980,6067,4720,7116,19393,10767,18609,19118,22399,12063,12045,13694,13108,4041,4632,4786,6287,4425,8042,13912,3536,7472,8503,8116,2321,2414,6079,2757,4279,5600,2762,5465,5886,3705,2844,4084,2361,3939,5827,5991,2328,7482,9836,6552,5769,791,8077,5693,8708,4867,5728,6262,6061,7513,8130,3931,3931,3573,7174,4894,2740,4641,3097,9986,5745,4818,8557
